"country_school","school","country","lat","lng","Nex","Npos"
"liberia-26191",26191,"liberia",8.289395,-10.157865,30,0
"liberia-26192",26192,"liberia",8.367885,-10.045645,30,1
"liberia-26193",26193,"liberia",8.14937,-10.096855,30,3
"liberia-26194",26194,"liberia",8.222735,-10.08245,30,0
"liberia-26197",26197,"liberia",8.291675,-10.13127,30,2
"liberia-26198",26198,"liberia",8.21787,-10.18894,30,2
"liberia-26199",26199,"liberia",8.250825,-10.181815,30,3
"liberia-27221",27221,"liberia",7.66124,-9.593695,30,12
"liberia-27227",27227,"liberia",7.90917,-9.448515,30,14
"liberia-27228",27228,"liberia",7.97808,-9.46391,30,12
"liberia-27229",27229,"liberia",7.98798,-9.47291,30,10
"liberia-27231",27231,"liberia",7.941655,-9.58589,30,12
"liberia-27233",27233,"liberia",7.73682,-9.52147,30,14
"liberia-27235",27235,"liberia",7.822715,-9.47598,30,7
"liberia-27236",27236,"liberia",7.71826,-9.468575,28,3
"liberia-27237",27237,"liberia",7.769885,-9.54154,28,3
"liberia-27239",27239,"liberia",7.770995,-9.531645,30,6
"liberia-28241",28241,"liberia",7.647615,-9.67915,30,12
"liberia-28244",28244,"liberia",7.761625,-9.42746,30,9
"liberia-28245",28245,"liberia",7.660385,-9.532795,29,10
"liberia-28246",28246,"liberia",7.66012,-9.43495,30,6
"liberia-28247",28247,"liberia",7.67563,-9.447055,30,6
"liberia-28251",28251,"liberia",7.571985,-9.60202,30,12
"liberia-28252",28252,"liberia",7.72273,-9.542,30,5
"liberia-28253",28253,"liberia",7.44185,-9.57185,29,19
"liberia-28258",28258,"liberia",7.373635,-9.521275,30,12
"liberia-28259",28259,"liberia",7.46687,-9.73855,29,16
"liberia-28260",28260,"liberia",7.475455,-9.62178,30,14
"liberia-29301",29301,"liberia",6.672125,-10.17893056,30,1
"liberia-29302",29302,"liberia",6.641708333,-10.15259722,30,0
"liberia-29303",29303,"liberia",6.553416667,-10.27975,30,0
"liberia-29306",29306,"liberia",6.594972222,-10.01688889,26,3
"liberia-29307",29307,"liberia",6.580806806,-10.01176389,29,2
"liberia-29308",29308,"liberia",6.634041667,-9.992888889,30,0
"liberia-29309",29309,"liberia",6.620291667,-10.13761111,30,0
"liberia-29310",29310,"liberia",6.66525,-10.12645833,30,0
"liberia-29311",29311,"liberia",6.583916667,-10.15072222,30,0
"liberia-29312",29312,"liberia",6.572083333,-9.966569444,15,0
"liberia-29313",29313,"liberia",6.547111111,-9.928680556,30,0
"liberia-29314",29314,"liberia",6.505791667,-10.07030556,30,0
"liberia-29318",29318,"liberia",6.546,-10.2456,27,0
"liberia-29319",29319,"liberia",6.551888889,-10.27472222,28,4
"liberia-29320",29320,"liberia",6.550402778,-10.287625,30,1
"liberia-3081",3081,"liberia",7.00052,-9.51562,30,5
"liberia-3082",3082,"liberia",6.888205,-9.674595,30,22
"liberia-3083",3083,"liberia",7.014835,-9.56998,30,5
"liberia-3085",3085,"liberia",7.04145,-9.55516,29,2
"liberia-3086",3086,"liberia",7.0073,-9.640245,30,11
"liberia-3087",3087,"liberia",6.74892,-9.676955,30,8
"liberia-3089",3089,"liberia",6.803505,-9.65678,30,25
"liberia-3090",3090,"liberia",7.02291,-9.55629,30,3
"liberia-3091",3091,"liberia",6.82914,-9.64898,30,9
"liberia-3093",3093,"liberia",6.8841,-9.75472,30,8
"liberia-3094",3094,"liberia",6.943,-9.57588,29,5
"liberia-3095",3095,"liberia",7.013855,-9.56673,30,1
"liberia-3096",3096,"liberia",6.84658,-9.82089,30,10
"liberia-3097",3097,"liberia",6.8404,-9.79116,30,18
"liberia-3098",3098,"liberia",6.939945,-9.636375,30,5
"liberia-3099",3099,"liberia",6.853645,-9.66385,30,13
"liberia-3100",3100,"liberia",6.83554,-9.84361,30,5
"liberia-4063",4063,"liberia",6.85678,-9.51112,30,12
"liberia-4064",4064,"liberia",6.80448,-9.44305,22,22
"liberia-4065",4065,"liberia",6.652765,-9.42347,29,1
"liberia-4066",4066,"liberia",6.74135,-9.46078,30,9
"liberia-4067",4067,"liberia",6.65483,-9.37619,30,3
"liberia-4068",4068,"liberia",6.68566,-9.36122,30,19
"liberia-4069",4069,"liberia",6.87272,-9.33208,30,24
"liberia-4070",4070,"liberia",6.72797,-9.52649,30,10
"liberia-4071",4071,"liberia",6.88612,-9.375095,29,17
"liberia-4072",4072,"liberia",6.621805,-9.35708,30,1
"liberia-4073",4073,"liberia",6.76981,-9.526835,30,4
"liberia-4074",4074,"liberia",6.590235,-9.430305,30,0
"liberia-4075",4075,"liberia",6.831845,-9.45761,30,21
"liberia-4078",4078,"liberia",6.727835,-9.391625,29,22
"liberia-4079",4079,"liberia",6.6038,-9.37183,30,2
"liberia-4080",4080,"liberia",6.626465,-9.399585,29,2
"liberia-5101",5101,"liberia",6.9248,-9.293545,30,23
"liberia-5102",5102,"liberia",7.003545,-9.285895,29,20
"liberia-5103",5103,"liberia",6.852175,-9.24266,30,18
"liberia-5104",5104,"liberia",6.89441,-9.179325,30,7
"liberia-5105",5105,"liberia",7.013555,-9.24926,30,19
"liberia-5106",5106,"liberia",7.039465,-9.284205,29,14
"liberia-5107",5107,"liberia",6.863435,-9.114425,30,12
"liberia-5108",5108,"liberia",7.06386,-9.16978,29,2
"liberia-5109",5109,"liberia",7.04335,-9.25588,30,19
"liberia-5110",5110,"liberia",7.089,-9.221035,30,15
"liberia-5111",5111,"liberia",7.06073,-9.196865,30,13
"liberia-5112",5112,"liberia",7.0484,-9.237285,30,9
"liberia-5113",5113,"liberia",7.1512,-9.39996,28,11
"liberia-5114",5114,"liberia",6.816435,-9.186145,30,12
"liberia-5115",5115,"liberia",6.99992,-9.28733,29,18
"liberia-5116",5116,"liberia",6.94028,-9.20686,29,26
"liberia-5117",5117,"liberia",6.92283,-9.19954,23,0
"liberia-5118",5118,"liberia",6.97621,-9.22991,30,24
"liberia-5119",5119,"liberia",6.83929,-9.17419,30,8
"liberia-5120",5120,"liberia",6.94063,-9.22227,29,14
"liberia-6042",6042,"liberia",7.264437,-9.436085,30,13
"liberia-6044",6044,"liberia",7.1477,-9.462955,30,9
"liberia-6045",6045,"liberia",7.132755,-9.403085,29,13
"liberia-6046",6046,"liberia",7.15119,-9.399975,29,16
"liberia-6047",6047,"liberia",7.18624,-9.309905,30,20
"liberia-6048",6048,"liberia",7.17042,-9.337495,29,21
"liberia-6049",6049,"liberia",7.11645,-9.45947,29,15
"liberia-6050",6050,"liberia",7.312235,-9.511825,30,6
"liberia-6051",6051,"liberia",7.24656,-9.390915,29,2
"liberia-6052",6052,"liberia",7.08027,-9.325375,30,15
"liberia-6053",6053,"liberia",7.333895,-9.498835,28,12
"liberia-6054",6054,"liberia",7.283725,-9.48667,30,9
"liberia-6055",6055,"liberia",7.11206,-9.486695,30,7
"liberia-6056",6056,"liberia",7.188545,-9.445225,29,17
"liberia-6057",6057,"liberia",7.008985,-9.35086,30,20
"liberia-6058",6058,"liberia",7.03987,-9.464665,30,9
"liberia-6059",6059,"liberia",7.08695,-9.43776,29,22
"liberia-7021",7021,"liberia",7.08511,-9.798805,30,24
"liberia-7022",7022,"liberia",6.967395,-9.91704,30,1
"liberia-7023",7023,"liberia",7.11236,-9.78322,29,3
"liberia-7024",7024,"liberia",6.99242,-10.057705,15,1
"liberia-7025",7025,"liberia",7.113875,-9.79266,30,0
"liberia-7026",7026,"liberia",7.115075,-9.7853,28,22
"liberia-7027",7027,"liberia",7.08672,-9.74143,30,21
"liberia-7028",7028,"liberia",6.980505,-9.977935,29,2
"liberia-7029",7029,"liberia",6.97521,-9.979935,30,0
"liberia-7030",7030,"liberia",7.00473,-10.007035,30,2
"liberia-7032",7032,"liberia",7.014835,-10.0906,30,1
"liberia-7034",7034,"liberia",7.11084,-9.883875,30,3
"liberia-7035",7035,"liberia",7.08069,-9.86116,30,24
"liberia-7039",7039,"liberia",6.92909,-10.00348,30,0
"liberia-8141",8141,"liberia",6.812791667,-10.3605,30,0
"liberia-8142",8142,"liberia",6.8129305,-10.3604722,30,3
"liberia-8143",8143,"liberia",6.810236,-10.365958,30,2
"liberia-8144",8144,"liberia",6.88986105,-10.3876055,30,1
"liberia-8145",8145,"liberia",6.880597222,-10.38386111,30,1
"liberia-8146",8146,"liberia",6.81509722,-10.36088888,30,0
"liberia-8147",8147,"liberia",6.8081527,-10.3633888,30,0
"liberia-8148",8148,"liberia",6.8084027,-10.36575,30,0
"liberia-8149",8149,"liberia",6.80434722,-10.36063888,30,0
"liberia-8150",8150,"liberia",6.80043055,-10.36280555,30,0
