longitude,latitude,elev_m,dist_to_water_m,bioclim1,bioclim4,bioclim12,bioclim15
33.9235168,7.8892091,420,1989,269.6,1264.82,1057.14,78.5325
34.2878193,7.8892091,438,5109,265.35,1194.36,1190.4675,78.1575
34.6521218,7.8892091,481,914,262.055,1134.99,1291.695,77.0
35.0164244,7.8892091,1828,2227,191.1975,938.5375,1626.32,62.4
35.3807269,7.8892091,2104,3328,182.8875,928.065,1838.345,60.8275
35.7450294,7.8892091,2132,4147,179.055,880.91,1938.4125,59.7675
36.109332,7.8892091,2229,9287,172.45,811.07,1950.4525,60.4275
36.4736345,7.8892091,2154,7966,178.855,847.1475,1890.4025,63.6
36.8379371,7.8892091,1836,2027,190.4575,904.3575,1892.6775,70.085
37.2022396,7.8892091,2041,5632,186.025,918.4975,1555.055,70.2775
37.5665421,7.8892091,2116,4399,186.0,895.9125,1196.45,68.6625
37.9308447,7.8892091,2860,1749,141.5325,817.9575,1123.2725,64.7
38.2951472,7.8892091,2007,3658,172.29,792.4825,982.3725,63.1575
38.6594497,7.8892091,1674,8170,191.955,754.0425,838.9075,62.015
39.0237523,7.8892091,1982,585,171.6125,948.2625,867.6625,66.2625
39.3880548,7.8892091,3967,7977,89.0975,622.9025,1235.4875,58.4275
39.7523573,7.8892091,2449,1932,159.975,698.7575,1150.8075,51.0975
40.1166599,7.8892091,1298,406,211.79,1208.085,880.0925,59.7225
40.4809624,7.8892091,1298,2844,227.775,1174.1375,757.175,63.0625
40.845265,7.8892091,1415,7170,220.3475,977.8975,799.48,67.2975
41.2095675,7.8892091,1514,5681,214.295,796.3675,783.5425,69.8
41.57387,7.8892091,787,694,244.9225,851.73,520.005,76.7
41.9381726,7.8892091,1080,6448,247.525,818.4125,458.5125,81.4125
42.3024751,7.8892091,955,3154,251.4,819.295,405.225,85.295
42.6667776,7.8892091,951,2680,258.35,844.045,359.335,89.5975
43.0310802,7.8892091,1017,4753,251.5325,861.24,377.4875,89.6775
43.3953827,7.8892091,1009,2188,253.6,924.975,361.725,93.1
43.7596853,7.8892091,970,3874,253.94,972.5325,343.93,98.2525
44.1239878,7.8892091,956,3512,248.3925,1002.5625,338.4,100.62
44.4882903,7.8892091,955,39720,245.85,1049.9725,322.7925,105.7
44.8525929,7.8892091,790,45163,252.4875,1102.8875,275.0,115.7625
45.2168954,7.8892091,735,28176,253.85,1134.4775,246.99,118.385
45.5811979,7.8892091,697,24954,254.6175,1181.1425,220.9825,119.8825
45.9455005,7.8892091,658,841,253.595,1226.435,198.9375,122.235
46.309803,7.8892091,696,16930,249.85,1237.7,188.125,123.5625
46.6741055,7.8892091,625,16952,252.6325,1277.8675,164.415,125.665
47.0384081,7.8892091,586,19505,252.4575,1354.345,148.72,130.135
47.4027106,7.8892091,610,19067,249.7,1407.6075,145.8975,129.5
47.7670132,7.8892091,641,39195,246.8375,1478.1375,149.8625,132.5375
33.1949117,8.2535117,407,527,276.5325,1452.7225,898.05,88.2325
33.5592142,8.2535117,413,4729,274.8875,1430.7625,912.7875,84.3
33.9235168,8.2535117,418,1015,273.55,1425.13,907.645,81.7525
34.2878193,8.2535117,467,3997,274.5,1468.15,934.2775,82.05
34.6521218,8.2535117,532,5269,270.1875,1321.45,1170.0175,79.0
35.0164244,8.2535117,1577,5165,230.61,1048.45,1342.0225,73.72
35.3807269,8.2535117,1702,2487,199.15,935.4775,1645.81,69.1225
35.7450294,8.2535117,1787,2571,195.18,1016.0275,1772.9925,70.1
36.109332,8.2535117,2036,2240,180.685,976.2075,1909.5275,70.65
